Bib #,First Name,Last Name,M/F,Home Town,State,Country,Nationality,Event,Age,Bib,Wave,Status,Time,Note,# Finishes,# 48h,# 36h
67,Ta'Mara,Aarin,F,Woodland Hills,California,United States,United States,2019 Badwater 135,51,67,2000,DNF,,,,,
99,Amy,Adams,F,Manchester,Maryland,United States,United States,2023 Badwater 135,47,99,2000,DNF,,,,,
87,Drew,Adams,M,Twin Falls,Idaho,United States,United States,2023 Badwater 135,35,87,2200,FIN,37:12:04,,1,1,
,Eleanor,Adams,F,,,United Kingdom,United Kingdom,1987 US vs. UK Death Valley to Mt. Whitney Race,N/A,,AM,FIN,52:45:00,,1,,
30,James,Adams,M,London,London E,United Kingdom,United Kingdom,2010 Badwater 135,30,30,800,FIN,39:24:00,,1,1,
45,Ian,Adamson,M,Boulder,Colorado,United States,Australia,2010 Badwater 135,45,45,1000,FIN,34:32:38,,1,1,1
4,Rudy,Afanador,M,,,United States,United States,2001 Badwater 135,42,4,600,FIN,29:03:42,,2,2,1
10,Rudy,Afanador,M,,New York,United States,United States,2003 Badwater 135,44,10,1000,DNF,,,2,2,1
15,Rudy,Afanador,M,,New York,United States,United States,2004 Badwater 135,45,15,1000,FIN,37:07:00,,2,2,1
21,David,Aguayo,M,Atascadero,California,United States,United States,2023 Badwater 135,47,21,2100,FIN,42:23:55,,1,1,
100,Mohamad,Ahansal,M,Zagora,,Morocco,Morocco,2016 Badwater 135,43,100,2300,DNF,,,,,
91,Sonia,Ahuja,F,Thousand Oaks,California,United States,India,2023 Badwater 135,47,91,2100,FIN,25:42:51,,1,1,1
100,Mohammad,Al-Sweity,M,Amman,,Jordan,Jordan,2017 Badwater 135,46,100,2000,FIN,41:53:51,,1,1,
57,Norm,Albert,M,,Virginia,United States,United States,2005 Badwater 135,48,57,600,FIN,42:46:31,,1,1,
81,Roberto,Aldovini,M,Bornato,Bres,Italy,Italy,2009 Badwater 135,37,81,800,FIN,,,1,,
19,Lorie,Alexander,F,Vernon,British Columbia,Canada,Canada,2010 Badwater 135,51,19,600,FIN,44:09:23,,5,5,
19,Lorie,Alexander,F,Vernon,British Columbia,Canada,Canada,2011 Badwater 135,52,19,600,FIN,37:43:21,,5,5,
19,Lorie,Alexander,F,Vernon,British Columbia,Canada,Canada,2013 Badwater 135,54,19,600,DNF,,,5,5,
19,Lorie,Alexander,F,Calgary,Alberta,Canada,Canada,2014 Badwater 135,55,19,600,FIN,36:32:37,,5,5,
19,Lorie,Alexander,F,Calgary,Alberta,Canada,Canada,2015 Badwater 135,56,19,2000,FIN,37:00:05,,5,5,
19,Lorie,Alexander,F,Calgary,Alberta,Canada,Canada,2016 Badwater 135,57,19,2130,FIN,37:35:29,,5,5,
19,Noora,Alidina,F,,Florida,United States,Jordan,2005 Badwater 135,48,19,800,FIN,42:30:38,,4,4,1
17,Noora,Alidina,F,Palm Harbor,Florida,United States,Jordan,2006 Badwater 135,49,17,1000,FIN,37:16:15,,4,4,1
11,Noora,Alidina,F,Palm Harbor,Florida,United States,Jordan,2007 Badwater 135,50,11,1000,FIN,35:12:13,,4,4,1
100,Noora,Alidina,F,Clearwater,Florida,United States,Jordan,2015 Badwater 135,58,100,2000,FIN,38:51:51,,4,4,1
11,Noora,Alidina,F,Clearwater,Florida,United States,Jordan,2023 Badwater 135,66,11,2100,DNF,,,4,4,1
44,Telma Ghazarian,Altoon,F,Porter Ranch,California,United States,Armenia,2018 Badwater 135,43,44,2000,DNF,,,1,1,
44,Telma Ghazarian,Altoon,F,Porter Ranch,California,United States,Armenia,2019 Badwater 135,44,44,2000,DNF,,,1,1,
44,Telma Ghazarian,Altoon,F,Porter Ranch,California,United States,Armenia,2021 Badwater 135,46,44,2000,FIN,44:47:17,,1,1,
