Session,Date,Week,Day,Tiime,Distance,Pace_MPH
1,1/9/20,1,1,30:00:00,2.01,4.02
2,1/11/20,1,2,30:00:00,2.1,4.2
3,1/12/20,1,3,30:00:00,2.25,4.5
4,1/15/20,2,1,31:00:00,2.2,4.26
5,1/17/20,2,2,31:00:00,2.19,4.24
6,1/19/20,2,3,31:00:00,2.13,4.12
7,1/22/20,3,1,28:00:00,2.01,4.31
8,1/24/20,3,2,28:00:00,2.3,4.93
9,1/26/20,3,3,28:00:00,2.13,4.56
10,1/29/20,4,1,31:30:00,2.52,4.8
11,1/31/20,4,2,31:30:00,2.61,4.97
12,2/2/20,4,3,31:30:00,2.58,4.91
13,2/4/20,5,1,31:00:00,2.47,4.78
14,2/12/20,5,2,31:00:00,2.41,4.66
15,2/14/20,5,3,30:00:00,2.56,5.12
16,2/15/20,6,1,34:00:00,3.12,5.51
17,2/16/20,6,2,33:00:00,2.74,4.98
18,2/19/20,6,3,32:00:00,2.85,5.34
19,2/24/20,7,1,35:00:00,2.98,5.11
20,2/25/20,7,2,35:00:00,2.77,4.75
21,2/26/20,7,3,35:00:00,2.64,4.53
22,2/29/20,8,1,35:00:00,3.2,5.49
23,3/4/20,8,2,38:00:00,3.2,5.05
24,3/6/20,8,3,38:00:00,3.27,5.16
25,3/8/20,9,1,40:00:00,3.23,4.85
26,3/11/20,9,2,40:00:00,3.35,5.03
27,3/14/20,9,3,42:57:00,3.74,5.22
