Program,Session,Run,Distance,Pace_MPH
C25K,1,1,2.01,4.02
C25K,2,2,2.1,4.2
C25K,3,3,2.25,4.5
C25K,4,4,2.2,4.26
C25K,5,5,2.19,4.24
C25K,6,6,2.13,4.12
C25K,7,7,2.01,4.31
C25K,8,8,2.3,4.93
C25K,9,9,2.13,4.56
C25K,10,10,2.52,4.8
C25K,11,11,2.61,4.97
C25K,12,12,2.58,4.91
C25K,13,13,2.47,4.78
C25K,14,14,2.41,4.66
C25K,15,15,2.56,5.12
C25K,16,16,3.12,5.51
C25K,17,17,2.74,4.98
C25K,18,18,2.85,5.34
C25K,19,19,2.98,5.11
C25K,20,20,2.77,4.75
C25K,21,21,2.64,4.53
C25K,22,22,3.2,5.49
C25K,23,23,3.2,5.05
C25K,24,24,3.27,5.16
C25K,25,25,3.23,4.85
C25K,26,26,3.35,5.03
C25K,27,27,3.74,5.22
Faster5k,1,28,2.40,5.54
Faster5k,2,29,2.99,5.44
Faster5k,3,30,3.26,5.59
Faster5k,4,31,2.80,5.89
Faster5k,5,32,3.09,6.18
Faster5k,6,33,3.27,5.61
Faster5k,7,34,3.19,5.98
Faster5k,8,35,3.47,5.95
Faster5k,9,36,3.13,5.37
Faster5k,10,37,3.68,5.97
Faster5k,11,38,3.23,5.54
Faster5k,12,39,3.19,5.47
Faster5k,13,40,4.04,6.06
Faster5k,14,41,3.04,5.53
Faster5k,15,42,2.97,5.09
Faster5k,16,43,4.45,5.93
Faster5k,17,44,3.31,6.30
Faster5k,18,45,3.58,6.14
Faster5k,19,46,4.97,5.96
Faster5k,20,47,3.28,6.48
Faster5k,21,48,3.27,5.61
Faster5k,22,49,5.43,6.03
Faster5k,23,50,3.11,6.58
Faster5k,24,51,3.32,5.69
Half_Marathon,1,52,4.11,5.8
Half_Marathon,2,53,3.23,5.4
Half_Marathon,3,54,5.28,5.49
Half_Marathon,4,55,4.19,5.57
Half_Marathon,5,56,2.14,5.62
Half_Marathon,6,57,3,5.4
Half_Marathon,7,58,6.01,5.49
Half_Marathon,8,59,3.37,5.58
Half_Marathon,9,60,2.94,5.7
Half_Marathon,10,61,2.64,5.54
Half_Marathon,11,62,5.7,5.67
Half_Marathon,12,63,3.12,5.17
Half_Marathon,13,64,2.99,5.8
Half_Marathon,14,65,2.84,5.3
Half_Marathon,15,66,6.81,5.3
Half_Marathon,16,67,4.01,5.8
Half_Marathon,17,68,2.87,5.58
Half_Marathon,18,69,2.88,5.39
Half_Marathon,19,70,9.04,5.61
Half_Marathon,20,71,4.06,5.79
Half_Marathon,21,72,2.78,5.57
Half_Marathon,22,73,3.68,5.37
Half_Marathon,23,74,10.02,5.5
Half_Marathon,24,75,2.79,5.53
Half_Marathon,25,76,2.9,5.42
Half_Marathon,26,77,2.85,5.69
Half_Marathon,27,78,9.04,5.26
Half_Marathon,28,79,4.24,5.29
Half_Marathon,29,80,3.12,5.48
Half_Marathon,30,81,3.18,5.57
Half_Marathon,31,82,10.15,5.51
Half_Marathon,32,83,4.72,5.89
Half_Marathon,33,84,3.22,5.33
Half_Marathon,34,85,3.38,5.16
Half_Marathon,35,86,10.35,5.18
Half_Marathon,36,87,6.02,5.68
Half_Marathon,37,88,3.19,5.3
Half_Marathon,38,89,3.72,5.64
Half_Marathon,39,90,11.4,5.34
Half_Marathon,40,91,4.73,5.23
Half_Marathon,41,92,3.5,5.8
Half_Marathon,42,93,4.28,6.08
Half_Marathon,43,94,9.07,5.62
Half_Marathon,44,95,3.34,5.6
Half_Marathon,45,96,3.09,6.1
Half_Marathon,46,97,13.12,5.9
