Session,Date,Week,Day,Workout,Time,Distance,Pace_MPH,Avg_Heart_Rate
1,6/3/20,1,1,Intervals,26:00,2.40,5.54,175
2,6/5/20,1,2,Tempo,33:00,2.99,5.44,172
3,6/7/20,1,3,Base,35:00,3.26,5.59,169
4,6/10/20,2,1,Intervals,28:30,2.80,5.89,163
5,6/12/20,2,2,Tempo,30:00,3.09,6.18,164
6,6/14/20,2,3,Base,35:00,3.27,5.61,160
7,6/17/20,3,1,Intervals,32:00,3.19,5.98,177
8,6/19/20,3,2,Tempo,35:00,3.47,5.95,164
9,6/21/20,3,3,Base,35:00,3.13,5.37,153
10,6/24/20,4,1,Intervals,37:00,3.68,5.97,163
11,6/26/20,4,2,Tempo,35:00,3.23,5.54,152
12,6/28/20,4,3,Base,35:00,3.19,5.47,148
13,7/1/20,5,1,Intervals,40:00,4.04,6.06,170
14,7/3/20,5,2,Tempo,33:00,3.04,5.53,170
15,7/5/20,5,3,Base,35:00,2.97,5.09,170
16,7/8/20,6,1,Intervals,45:00,4.45,5.93,172
17,7/10/20,6,2,Tempo,31:30,3.31,6.30,160
18,7/12/20,6,3,Base,35:00,3.58,6.14,161
19,7/15/20,7,1,Intervals,50:00,4.97,5.96,174
20,7/17/20,7,2,Tempo,30:22,3.28,6.48,165
21,7/19/20,7,3,Base,35:00,3.27,5.61,158
22,7/21/20,8,1,Intervals,54:00,5.43,6.03,169
23,7/24/20,8,2,Tempo,28:21,3.11,6.58,164
24,7/26/20,8,3,Base,35:00,3.32,5.69,162
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
