Attempt,Session,Date,Week,Day,Workout,Time,Distance,Elevation_Gain,Cadence,Avg_Heart_Rate,Temperature,Pace_MPH
First,1,7/28/20,1,Tuesday,Base,0:42:31,4.11,173,166,161,72,5.8
First,2,7/30/20,1,Thursday,Base,0:35:55,3.23,118,151,154,76,5.4
First,3,8/2/20,1,Sunday,Base,0:57:44,5.28,259,156,162,77,5.49
First,4,8/4/20,2,Tuesday,Base,0:45:07,4.19,209,167,157,69,5.57
First,5,8/6/20,2,Thursday,Segments,0:22:51,2.14,89,165,160,64,5.62
First,6,8/7/20,2,Friday,Intervals,0:33:20,3,137,149,153,68,5.4
First,7,8/9/20,2,Sunday,Long,1:05:43,6.01,317,157,167,70,5.49
First,8,8/11/20,3,Tuesday,Base,0:36:16,3.37,157,158,166,80,5.58
First,9,8/13/20,3,Thursday,Segments,0:30:58,2.94,121,164,163,76,5.7
First,10,8/14/20,3,Friday,Intervals,0:28:35,2.64,138,148,148,70,5.54
First,11,8/16/20,3,Sunday,Long,1:00:22,5.7,295,162,159,70,5.67
First,12,8/18/20,4,Tuesday,Base,0:36:13,3.12,146,156,160,68,5.17
First,13,8/20/20,4,Thursday,Segments,0:30:57,2.99,137,169,162,63,5.8
First,14,8/21/20,4,Friday,Intervals,0:32:10,2.84,129,151,157,75,5.3
First,15,8/23/20,4,Sunday,Long,1:17:08,6.81,295,163,163,77,5.3
First,16,8/25/20,5,Tuesday,Base,0:41:27,4.01,159,170,156,69,5.8
First,17,8/27/20,5,Thursday,Segments,0:30:50,2.87,136,163,162,79,5.58
First,18,8/28/20,5,Friday,Intervals,0:32:05,2.88,127,152,162,76,5.39
First,19,8/30/20,5,Sunday,Long,1:36:40,9.04,508,168,160,60,5.61
First,20,9/1/20,6,Tuesday,Base,0:42:06,4.06,169,168,160,63,5.79
First,21,9/3/20,6,Thursday,Segments,0:29:56,2.78,129,165,162,71,5.57
First,22,9/4/20,6,Friday,Intervals,0:41:06,3.68,161,153,153,69,5.37
First,23,9/6/20,6,Sunday,Long,1:49:16,10.02,503,168,158,60,5.5
First,24,9/8/20,7,Tuesday,Base,0:30:15,2.79,127,164,163,75,5.53
First,25,9/10/20,7,Thursday,Segments,0:32:06,2.9,137,163,160,71,5.42
First,26,9/11/20,7,Friday,Intervals,0:30:04,2.85,131,163,160,68,5.69
First,27,9/13/20,7,Sunday,Long,1:43:07,9.04,488,165,160,65,5.26
First,28,9/15/20,8,Tuesday,Base,0:48:03,4.24,206,164,163,52,5.29
First,29,9/17/20,8,Thursday,Segments,0:34:09,3.12,144,165,167,66,5.48
First,30,9/18/20,8,Friday,Intervals,0:34:14,3.18,147,159,161,59,5.57
