Year,Events,Races,Unique_Runners,First_Timers,Total_Finishes,Avg_Finishers_per_Race,Male,Female
2023,1727,2752,86018,35214,129298,46.98,68.18%,31.82%
2022,1694,2691,75979,29516,116943,43.46,66.77%,33.23%
2021,1403,2246,64665,26283,101504,45.19,66.56%,33.44%
2020,751,1170,34551,11903,46612,39.84,67.81%,32.19%
2019,1557,2442,77702,32129,129842,53.17,66.53%,33.47%
2018,1439,2173,66688,26290,113378,52.18,66.21%,33.79%
2017,1320,1987,62919,25249,106634,53.67,66.29%,33.71%
2016,1240,1848,58292,24341,99359,53.77,66.59%,33.41%
2015,1100,1649,53222,22849,91961,55.77,67.63%,32.37%
2014,994,1475,48288,20918,84865,57.54,68.99%,31.01%
2013,898,1286,44198,19918,78419,60.98,69.97%,30.03%
2012,799,1136,38742,18171,68427,60.24,70.67%,29.33%
2011,685,952,31321,14387,54415,57.16,71.83%,28.17%
2010,635,872,28209,13675,50343,57.73,71.85%,28.15%
2009,497,670,22478,10247,39983,59.68,72.75%,27.25%
2008,442,587,18429,8110,33421,56.94,73.14%,26.86%
2007,383,501,16720,7346,30194,60.27,73.48%,26.52%
2006,324,399,14159,5794,24498,61.4,73.89%,26.11%
2005,293,367,12720,5115,22413,61.07,73.43%,26.57%
2004,267,333,11616,4557,20179,60.6,73.46%,26.54%
2003,243,305,10778,4315,18484,60.6,74.22%,25.78%
2002,206,256,9824,3853,16805,65.64,74.48%,25.52%
2001,200,248,9313,3805,15834,63.85,75.33%,24.67%
2000,183,220,8362,3325,14249,64.77,76.26%,23.74%
