Year,Events,Races,Unique_Runners,First _Timers,Total _Finishes,Avg _Finishers_per_Race,Male,Female
2023 (YTD),"1,727","2,752","86,018","35,214","129,298",46.98,0.68,0.32
2022,"1,694","2,691","75,979","29,516","116,943",43.46,0.67,0.33
2021,"1,403","2,246","64,665","26,283","101,504",45.19,0.67,0.33
2020,751,"1,170","34,551","11,903","46,612",39.84,0.68,0.32
2019,"1,557","2,442","77,702","32,129","129,842",53.17,0.67,0.33
2018,"1,439","2,173","66,688","26,290","113,378",52.18,0.66,0.34
2017,"1,320","1,987","62,919","25,249","106,634",53.67,0.66,0.34
2016,"1,240","1,848","58,292","24,341","99,359",53.77,0.67,0.33
2015,"1,100","1,649","53,222","22,849","91,961",55.77,0.68,0.32
2014,994,"1,475","48,288","20,918","84,865",57.54,0.69,0.31
2013,898,"1,286","44,198","19,918","78,419",60.98,0.70,0.30
2012,799,"1,136","38,742","18,171","68,427",60.24,0.71,0.29
2011,685,952,"31,321","14,387","54,415",57.16,0.72,0.28
2010,635,872,"28,209","13,675","50,343",57.73,0.72,0.28
2009,497,670,"22,478","10,247","39,983",59.68,0.73,0.27
2008,442,587,"18,429","8,110","33,421",56.94,0.73,0.27
2007,383,501,"16,720","7,346","30,194",60.27,0.73,0.27
2006,324,399,"14,159","5,794","24,498",61.40,0.74,0.26
2005,293,367,"12,720","5,115","22,413",61.07,0.73,0.27
2004,267,333,"11,616","4,557","20,179",60.60,0.73,0.27
2003,243,305,"10,778","4,315","18,484",60.60,0.74,0.26
2002,206,256,"9,824","3,853","16,805",65.64,0.74,0.26
2001,200,248,"9,313","3,805","15,834",63.85,0.75,0.25
2000,183,220,"8,362","3,325","14,249",64.77,0.76,0.24
